K-APT 전수 원본 20638건
기존 data.js 14798건
갭(미보유) 단지 16272건 — 지오코딩 시작
  진행 13800/16272 (성공 12829 실패 971)
  진행 13900/16272 (성공 12923 실패 977)
  진행 14000/16272 (성공 13018 실패 982)
  진행 14100/16272 (성공 13111 실패 989)
  진행 14200/16272 (성공 13205 실패 995)
  진행 14300/16272 (성공 13296 실패 1004)
  진행 14400/16272 (성공 13390 실패 1010)
  진행 14500/16272 (성공 13485 실패 1015)
  진행 14600/16272 (성공 13578 실패 1022)
  진행 14700/16272 (성공 13671 실패 1029)
  진행 14800/16272 (성공 13765 실패 1035)
  진행 14900/16272 (성공 13861 실패 1039)
  진행 15000/16272 (성공 13956 실패 1044)
  진행 15100/16272 (성공 14052 실패 1048)
  진행 15200/16272 (성공 14143 실패 1057)
  진행 15300/16272 (성공 14236 실패 1064)
  진행 15400/16272 (성공 14327 실패 1073)
  진행 15500/16272 (성공 14417 실패 1083)
  진행 15600/16272 (성공 14510 실패 1090)
  진행 15700/16272 (성공 14604 실패 1096)
  진행 15800/16272 (성공 14700 실패 1100)
  진행 15900/16272 (성공 14790 실패 1110)
  진행 16000/16272 (성공 14882 실패 1118)
  진행 16100/16272 (성공 14975 실패 1125)
  진행 16200/16272 (성공 15071 실패 1129)
완료: 성공 15139 실패 1133 / 총 16272
